from;to
Astro-NFDI;PAHN-PaN
Astro-NFDI;DAPHNE
Astro-NFDI;NFDI4Earth
BERD@NFDI;KonsortSWD
BERD@NFDI;ForumX
BERD@NFDI;Text+
DAPHNE;FAIRmat
DAPHNE;NFDI4Chem
DAPHNE;NFDI4Ing
DAPHNE;NFDI4MSE
DAPHNE;NFDI4cat
DAPHNE;PAHN-PaN
DAPHNE;Astro-NFDI
DataPLANT;NFDI4BioDiversity
DataPLANT;NFDI4Agri
DataPLANT;NFDI4Chem
FAIRmat;DAPHNE
FAIRmat;MaRDI
FAIRmat;NFDI4Chem
FAIRmat;NFDI4cat
FAIRmat;NFDI4Ing
FAIRmat;NFDI4MSE
ForumX;NFDI4Medicine
ForumX;KonsortSWD
ForumX;BERD@NFDI
ForumX;NFDI4Culture
ForumX;Text+
GHGA;NFDI4Medicine
GHGA;NFDI4Health
KonsortSWD;BERD@NFDI
KonsortSWD;NFDI4BioDiversity
KonsortSWD;NFDI4Earth
KonsortSWD;NFDI4Health
KonsortSWD;Text+
MaRDI;NFDI4MSE
MaRDI;PAHN-PaN
MaRDI;FAIRmat
MaRDI;NFDI4Ing
MaRDI;NFDI4Chem
MaRDI;NFDI4Culture
NFDI4Agri;NFDI4Health
NFDI4Agri;DataPLANT
NFDI4Agri;NFDI4BioDiversity
NFDI4Agri;KonsortSWD
NFDI4Agri;NFDI4Earth
NFDI4BioDiversity;NFDI4Earth
NFDI4BioDiversity;NFDI4Agri
NFDI4BioDiversity;NFDI4Chem
NFDI4BioDiversity;NFDI4Health
NFDI4BioDiversity;KonsortSWD
NFDI4BioDiversity;NFDI4Crime
NFDI4BioDiversity;DataPLANT
NFDI4BioDiversity;NFDI4Medicine
NFDI4cat;FAIRmat
NFDI4cat;NFDI4Chem
NFDI4cat;NFDI4Ing
NFDI4cat;DAPHNE
NFDI4Chem;FAIRmat
NFDI4Chem;NFDI4Ing
NFDI4Chem;NFDI4cat
NFDI4Chem;DAPHNE
NFDI4Chem;PAHN-PaN
NFDI4Chem;NFDI4Health
NFDI4Chem;NFDI4BioDiversity
NFDI4Crime;NFDI4BioDiversity
NFDI4Crime;NFDI4Medicine
NFDI4Crime;Text+
NFDI4Culture;Text+
NFDI4Culture;MaRDI
NFDI4Culture;NFDI4Ing
NFDI4Earth;Astro-NFDI
NFDI4Earth;KonsortSWD
NFDI4Earth;NFDI4Agri
NFDI4Earth;NFDI4BioDiversity
NFDI4Earth;NFDI4Ing
NFDI4Health;NFDI4Medicine
NFDI4Health;GHGA
NFDI4Health;KonsortSWD
NFDI4Health;NFDI4Chem
NFDI4Health;NFDI4Agri
NFDI4Health;NFDI4Earth
NFDI4Health;NFDI4BioDiversity
NFDI4Ing;NFDI4MSE
NFDI4Ing;FAIRmat
NFDI4Ing;NFDI4MobilTech
NFDI4Ing;NFDI4Chem
NFDI4Ing;NFDI4Earth
NFDI4Ing;MaRDI
NFDI4Ing;NFDI4Medicine
NFDI4Ing;Text+
NFDI4Ing;NFDI4Culture
NFDI4Medicine;GHGA
NFDI4Medicine;NFDI4Health
NFDI4Medicine;NFDI4Ing
NFDI4Medicine;NFDI4Crime
NFDI4Medicine;ForumX
NFDI4Medicine;KonsortSWD
NFDI4Medicine;NFDI4Agri
NFDI4MobilTech;NFDI4Ing
NFDI4MobilTech;ForumX
NFDI4MobilTech;NFDI4Earth
NFDI4MSE;FAIRmat
NFDI4MSE;NFDI4Ing
NFDI4MSE;MaRDI
NFDI4MSE;NFDI4Chem
NFDI4MSE;DAPHNE
Text+;NFDI4Culture
Text+;KonsortSWD
Text+;NFDI4Ing
Text+;NFDI4Earth
Text+;NFDI4BioDiversity
